company_name,industry,ticker
Sun Pharmaceutical Industries Ltd.,Pharma,SUNPHARMA.NS
Syngene International Ltd.,Pharma,SYNGENE.NS
Torrent Pharmaceuticals Ltd.,Pharma,TORNTPHARM.NS
Wockhardt Ltd.,Pharma,WOCKPHARMA.NS
Zydus Lifesciences Ltd.,Pharma,ZYDUSLIFE.NS
ACME Solar Holdings Ltd.,Power,ACMESOLAR.NS
Adani Energy Solutions Ltd.,Power,ADANIENSOL.NS
Adani Green Energy Ltd.,Power,ADANIGREEN.NS
Adani Power Ltd.,Power,ADANIPOWER.NS
CESC Ltd.,Power,CESC.NS
Jaiprakash Power Ventures Ltd.,Power,JPPOWER.NS
JSW Energy Ltd.,Power,JSWENERGY.NS
Nava Ltd.,Power,NAVA.NS
NHPC Ltd.,Power,NHPC.NS
NLC India Ltd.,Power,NLCINDIA.NS
NTPC Ltd.,Power,NTPC.NS
NTPC Green Energy Ltd.,Power,NTPCGREEN.NS
Power Grid Corporation of India Ltd.,Power,POWERGRID.NS
Reliance Infrastructure Ltd.,Power,RELINFRA.NS
Reliance Power Ltd.,Power,RPOWER.NS
SJVN Ltd.,Power,SJVN.NS
Tata Power Co. Ltd.,Power,TATAPOWER.NS
Torrent Power Ltd.,Power,TORNTPOWER.NS
Anant Raj Ltd.,Realty,ANANTRAJ.NS
Brigade Enterprises Ltd.,Realty,BRIGADE.NS
DLF Ltd.,Realty,DLF.NS
Godrej Properties Ltd.,Realty,GODREJPROP.NS
Lodha Developers Ltd.,Realty,LODHA.NS
Oberoi Realty Ltd.,Realty,OBEROIRLTY.NS
Phoenix Mills Ltd.,Realty,PHOENIXLTD.NS
Prestige Estates Projects Ltd.,Realty,PRESTIGE.NS
Signatureglobal (India) Ltd.,Realty,SIGNATURE.NS
Sobha Ltd.,Realty,SOBHA.NS
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL.NS
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS.NS
InterGlobe Aviation Ltd.,Services,INDIGO.NS
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA.NS
HFCL Ltd.,Telecommunication,HFCL.NS
GMR Airports Ltd.,Services,GMRAIRPORT.NS
Indus Towers Ltd.,Telecommunication,INDUSTOWER.NS
JSW Infrastructure Ltd.,Services,JSWINFRA.NS
ITI Ltd.,Telecommunication,ITI.NS
Container Corporation of India Ltd.,Services,CONCOR.NS
Delhivery Ltd.,Services,DELHIVERY.NS
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL.NS
Firstsource Solutions Ltd.,Services,FSL.NS
eClerx Services Ltd.,Services,ECLERX.NS
Redington Ltd.,Services,REDINGTON.NS
Great Eastern Shipping Co. Ltd.,Services,GESHIP.NS
International Gemmological Institute (India) Ltd.,Services,UNLISTED
Blue Dart Express Ltd.,Services,BLUEDART.NS
Tata Communications Ltd.,Telecommunication,TATACOMM.NS
MMTC Ltd.,Services,MMTC.NS
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML.NS
Tejas Networks Ltd.,Telecommunication,TEJASNET.NS
Vodafone Idea Ltd.,Telecommunication,IDEA.NS
Alok Industries Ltd.,Textiles,ALOKINDS.NS
K.P.R. Mill Ltd.,Textiles,KPRMILL.NS
Page Industries Ltd.,Textiles,PAGEIND.NS
Trident Ltd.,Textiles,TRIDENT.NS
Vardhman Textiles Ltd.,Textiles,VTL.NS
Welspun Living Ltd.,Textiles,WELSPUNLIV.NS
